[2021-03-06 15:31:10:6777][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp.local with PID 7252 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 15:31:10:6790][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 15:31:19:15567][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Started PharmacyChorokApplication in 15.065 seconds (JVM running for 15.81)
[2021-03-06 15:56:42:1539164][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp.local with PID 7252 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 15:56:42:1539168][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 15:56:47:1543405][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Started PharmacyChorokApplication in 9.481 seconds (JVM running for 1543.648)
[2021-03-06 15:56:54:1550325][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp.local with PID 7252 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 15:56:54:1550329][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 15:56:58:1554525][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Started PharmacyChorokApplication in 9.424 seconds (JVM running for 1554.768)
[2021-03-06 15:57:05:1561548][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp.local with PID 7252 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 15:57:05:1561552][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 15:57:09:1565799][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Started PharmacyChorokApplication in 9.472 seconds (JVM running for 1566.042)
[2021-03-06 15:57:16:1572683][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp.local with PID 7252 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 15:57:16:1572688][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 15:57:20:1576644][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Started PharmacyChorokApplication in 9.175 seconds (JVM running for 1576.887)
[2021-03-06 15:57:27:1583608][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp.local with PID 7252 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 15:57:27:1583612][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 15:57:31:1587332][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Started PharmacyChorokApplication in 8.92 seconds (JVM running for 1587.575)
[2021-03-06 16:00:39:1775421][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp.local with PID 7252 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 16:00:39:1775424][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 16:00:43:1779510][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Started PharmacyChorokApplication in 9.317 seconds (JVM running for 1779.753)
[2021-03-06 16:00:50:1786464][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp.local with PID 7252 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 16:00:50:1786469][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 16:01:11:6794][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp.local with PID 8250 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 16:01:11:6797][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 16:01:20:16173][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Started PharmacyChorokApplication in 15.66 seconds (JVM running for 16.419)
[2021-03-06 16:49:40:6805][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp.local with PID 9545 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 16:49:40:6808][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 16:49:49:15518][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Started PharmacyChorokApplication in 14.993 seconds (JVM running for 15.77)
[2021-03-06 23:11:59:2230][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Starting PharmacyChorokApplication using Java 1.8.0_275 on funahae-mbp with PID 12543 (/Users/jaehoon.park/git/pharmacy-chorok/bin/main started by jaehoon.park in /Users/jaehoon.park/git/pharmacy-chorok)
[2021-03-06 23:11:59:2238][restartedMain] INFO  c.p.c.PharmacyChorokApplication - No active profile set, falling back to default profiles: default
[2021-03-06 23:12:10:13518][restartedMain] INFO  c.p.c.PharmacyChorokApplication - Started PharmacyChorokApplication in 12.902 seconds (JVM running for 13.809)
